codigo_ibge,municipio_malha,uf,registro_shp,tipo_geometria,partes,pontos,xmin,ymin,xmax,ymax,anel_fechado_e_coordenadas_validas
3100500,AÃ§ucena,MG,5,5,1,3418,-42.663999999999916,-19.227439995999926,-42.205552,-18.92420599699994,True
3100609,Ãgua Boa,MG,6,5,1,4427,-42.490060000000014,-18.26142099699993,-42.04511199999993,-17.766404995999938,True
3100906,Ãguas Formosas,MG,9,5,1,2684,-41.19722499999991,-17.174660996999922,-40.768974999999955,-16.898696996999938,True
3101003,Ãguas Vermelhas,MG,10,5,1,4028,-41.74794599999993,-15.966072996999934,-41.34216518199995,-15.481466996999913,True
3101102,AimorÃ©s,MG,11,5,1,2772,-41.43207299999993,-19.94243859099992,-40.944693410999925,-19.37699999599994,True
3101706,Almenara,MG,18,5,1,5549,-41.01149000000001,-16.454293995999922,-40.414636999999956,-15.806558996999929,True
3101805,Alpercata,MG,19,5,1,1351,-42.12661899999991,-19.07158299599999,-41.89217699999991,-18.923105996999965,True
3102209,Alvarenga,MG,24,5,1,1524,-41.8354019999999,-19.508498995999943,-41.56091899999998,-19.33230499599997,True
3102704,Cachoeira de PajeÃº,MG,29,5,1,2845,-41.719755999999926,-16.110903997,-41.274468999999954,-15.812213996999933,True
3102852,AngelÃ¢ndia,MG,31,5,1,1423,-42.375931999999956,-17.790044995999974,-42.21226499999997,-17.59471099699997,True
3103405,AraÃ§uaÃ­,MG,37,5,1,5370,-42.25681899999991,-17.21279799699996,-41.62741399999989,-16.578076995999922,True
3104452,Aricanduva,MG,49,5,1,2097,-42.6969149999999,-17.992551995999992,-42.486613,-17.71616899599998,True
3104502,Arinos,MG,50,5,1,7948,-46.45770500000001,-16.245225996999988,-45.55966099999999,-15.363148996999918,True
3104700,AtalÃ©ia,MG,52,5,1,3918,-41.44057199999997,-18.502475996999976,-40.77022690199989,-17.929237995999934,True
3105202,Bandeira,MG,57,5,1,2537,-40.73268899999995,-16.01205799599997,-40.418962999999955,-15.715712666999924,True
3106507,Berilo,MG,69,5,1,2579,-42.645232999999934,-17.094404995999977,-42.36458699999998,-16.66940499699999,True
3106606,BertÃ³polis,MG,70,5,1,1595,-40.66517600000001,-17.18652499699994,-40.43362342599998,-16.781810996999944,True
3106655,Berizal,MG,71,5,1,2103,-41.91653499999994,-15.808726996999987,-41.593111,-15.587164996999956,True
3107307,BocaiÃºva,MG,78,5,1,11738,-44.11155399999995,-17.925236996999914,-43.067355,-16.850992996999956,True
3108206,BonfinÃ³polis de Minas,MG,87,5,1,4019,-46.51351600000002,-16.78234599699998,-45.892892999999916,-16.262654996999935,True
3108255,Bonito de Minas,MG,88,5,1,5089,-45.305659562999985,-15.485779996999991,-44.624609,-14.46328375900002,True
3108503,Botumirim,MG,91,5,1,4816,-43.206986999999955,-17.224864995999987,-42.729371,-16.67746899699992,True
3108602,BrasÃ­lia de Minas,MG,93,5,1,4155,-44.70420399999996,-16.50435799699995,-44.22600099999993,-15.973178996999913,True
3108800,BraÃºnas,MG,95,5,1,1936,-42.80976899999997,-19.16800299599993,-42.585630999999964,-18.895541995999974,True
3109402,Buritizeiro,MG,102,5,1,8359,-45.56216099999998,-17.995193996999923,-44.78950000000001,-16.56541299699997,True
3110806,CampanÃ¡rio,MG,117,5,1,2395,-41.88159399999993,-18.42206299699992,-41.57900899999999,-18.140645996999947,True
3111150,Campo Azul,MG,121,5,1,3009,-44.97319799999994,-16.651767996999975,-44.58570799999998,-16.381193997000008,True
3112059,Cantagalo,MG,131,5,1,1219,-42.70823699999992,-18.602401996999927,-42.595366999999946,-18.41650799699993,True
3112307,Capelinha,MG,134,5,1,4447,-42.69734699999994,-17.929716995999954,-42.27624999999994,-17.47578199599996,True
3112653,CapitÃ£o Andrade,MG,138,5,1,1649,-41.94965299999993,-19.127638995999927,-41.68327699999993,-18.973087995999958,True
3112703,CapitÃ£o EnÃ©as,MG,139,5,1,3779,-43.80173099999995,-16.41641399699992,-43.52140099999994,-15.781802996999925,True
3113008,CaraÃ­,MG,142,5,1,5269,-41.87012999999997,-17.356069996,-41.31565099999996,-16.970240995999983,True
3113503,Carbonita,MG,147,5,1,3712,-43.23479499999998,-17.77201799700002,-42.83737499999997,-17.25283799599998,True
3113701,Carlos Chagas,MG,149,5,1,6208,-41.216028999999935,-18.007115996999943,-40.487263,-17.328777996999953,True
3113800,CarmÃ©sia,MG,150,5,1,1580,-43.29498399999993,-19.14051499600001,-43.078123999999924,-18.970837995999954,True
3115458,Catuji,MG,169,5,1,2794,-41.656075999999956,-17.49931599599993,-41.34732299999994,-17.23250599599991,True
3115474,Catuti,MG,170,5,1,2229,-43.24698599999996,-15.449664996999921,-42.93854799999998,-15.232529996999986,True
3115706,Central de Minas,MG,173,5,1,1403,-41.39591099999997,-18.86800299699992,-41.200260775999915,-18.683171773999927,True
3116100,Chapada do Norte,MG,177,5,1,3829,-42.68157699999994,-17.366936995999946,-42.096528000000006,-16.945939996999968,True
3116159,Chapada GaÃºcha,MG,178,5,1,6785,-45.81825599999993,-15.900393996999949,-45.09419199999993,-15.01412160299994,True
3116506,Claro dos PoÃ§Ãµes,MG,182,5,1,3809,-44.35057899999998,-17.2957439969999,-44.09899199999991,-16.81791699699998,True
3116803,Coluna,MG,185,5,1,2248,-42.94575299999998,-18.379803995999975,-42.722999,-18.09338799599992,True
3117009,Comercinho,MG,187,5,1,2336,-41.932504999999956,-16.425559996999937,-41.610603000000005,-16.149463996999955,True
3117836,CÃ´nego Marinho,MG,196,5,1,4706,-44.82373899999993,-15.46151792599991,-44.33629099999995,-14.619616997000016,True
3118403,Conselheiro Pena,MG,203,5,1,4998,-41.70397399999992,-19.493526995999986,-41.12974699999993,-18.853779137999958,True
3118809,CoraÃ§Ã£o de Jesus,MG,207,5,1,7531,-44.85384299999994,-16.881828996999957,-43.96876599999999,-16.349729996999915,True
3119203,Coroaci,MG,211,5,1,2977,-42.45790199999996,-18.74425399699989,-42.04905799999993,-18.51257399699998,True
3119500,Coronel Murta,MG,214,5,1,2611,-42.38574199999993,-16.767858997000005,-42.01932099999991,-16.437087995999953,True
3120102,Couto de MagalhÃ£es de Minas,MG,221,5,1,3283,-43.56183299999998,-18.326342996999898,-43.25826499999998,-17.82703099699999,True
3120151,CrisÃ³lita,MG,222,5,1,3384,-41.208637999999915,-17.37734199699995,-40.746293999999956,-17.107599996999987,True
3120300,CristÃ¡lia,MG,224,5,1,3062,-43.004239999999974,-16.87406499699998,-42.60050699999997,-16.543135997,True
3120839,Cuparaque,MG,230,5,1,1298,-41.23780399999994,-19.08769299599996,-41.016826561999956,-18.890605889999943,True
3120870,Curral de Dentro,MG,231,5,1,2078,-41.916982999999966,-15.97851999699996,-41.582358999999975,-15.735991996999896,True
3121001,Datas,MG,233,5,1,2300,-43.736467999999924,-18.65474999699993,-43.57039399999999,-18.299740996999923,True
3121605,Diamantina,MG,240,5,1,10514,-44.08835399999999,-18.44659199699988,-43.217603999999916,-17.378861996999948,True
3122108,Divino das Laranjeiras,MG,245,5,1,1763,-41.596188999999946,-18.818272996999905,-41.37395899999998,-18.581511996999964,True
3122207,DivinolÃ¢ndia de Minas,MG,246,5,1,1288,-42.641945999999926,-18.87652799699998,-42.47447499999996,-18.724211996999927,True
3122355,Divisa Alegre,MG,248,5,1,748,-41.428555999999986,-15.801226996999915,-41.32726499999998,-15.623416996999904,True
3122454,DivisÃ³polis,MG,250,5,1,1880,-41.15135899999995,-15.895194997000015,-40.71504299999999,-15.64600704899993,True
3122470,Dom Bosco,MG,251,5,1,3335,-46.471652999999975,-16.940994996,-46.138620999999986,-16.54474999599996,True
3123106,Dores de GuanhÃ£es,MG,258,5,1,2487,-43.091097999999946,-19.160936995999975,-42.74735299999996,-18.907265995999953,True
3123700,Engenheiro Caldas,MG,265,5,1,1998,-42.1166689999999,-19.25351299599992,-41.93465399999995,-18.985727996999966,True
3123809,Engenheiro Navarro,MG,266,5,1,2858,-44.16121999999999,-17.44968899699991,-43.832947999999945,-17.146228996999966,True
3124302,Espinosa,MG,272,5,1,3673,-43.486964284999914,-15.159807996999994,-42.515675623999996,-14.649533274999946,True
3125408,FelÃ­cio dos Santos,MG,283,5,1,1851,-43.32117099999994,-18.275394997000003,-43.136835999999974,-18.01938099699992,True
3125507,SÃ£o GonÃ§alo do Rio Preto,MG,284,5,1,1899,-43.44974599999995,-18.239678996999906,-43.28020899999993,-17.937226996999964,True
3125606,Felisburgo,MG,285,5,1,2705,-40.89104199999999,-16.843862996999945,-40.579062999999955,-16.48115999599998,True
3125804,Fernandes Tourinho,MG,287,5,1,1233,-42.17778699999998,-19.18981899599995,-42.0233269999999,-19.02390499699994,True
3126208,Formoso,MG,292,5,1,4280,-46.566281778999944,-15.441690996999977,-45.593695000000004,-14.703025896999975,True
3126505,Francisco BadarÃ³,MG,295,5,1,2405,-42.431147999999936,-17.11903899600001,-42.15354399999997,-16.854678996999937,True
3126604,Francisco Dumont,MG,296,5,1,4330,-44.47046399999996,-17.706591997000007,-44.07762799999998,-17.161770996999923,True
3126703,Francisco SÃ¡,MG,297,5,1,4833,-43.76172499999999,-16.81576699699999,-43.131637999999946,-16.072189996999917,True
3126752,FranciscÃ³polis,MG,298,5,1,2560,-42.15030399999994,-18.149058996999976,-41.792536000000005,-17.84815699699994,True
3126802,Frei Gaspar,MG,299,5,1,2640,-41.662030999999914,-18.281808996999924,-41.36360199999995,-17.999595995999993,True
3126901,Frei InocÃªncio,MG,300,5,1,2609,-42.04879099999996,-18.666621995999986,-41.692538999999954,-18.37738699599992,True
3126950,Frei Lagonegro,MG,301,5,1,1156,-42.831123999999946,-18.21389999599999,-42.675065,-18.080408995999928,True
3127057,Fronteira dos Vales,MG,303,5,1,1568,-40.96629999999994,-16.975616996999996,-40.70907700000001,-16.804643997,True
3127073,Fruta de Leite,MG,304,5,1,3065,-42.706123999999974,-16.3080379969999,-42.34205199999998,-15.951569996999968,True
3127305,GalilÃ©ia,MG,307,5,1,2941,-41.713424999999944,-19.037588996999908,-41.341483,-18.7422209969999,True
3127339,Gameleiras,MG,308,5,1,4018,-43.53957799999996,-15.18665999699996,-42.983984999999976,-14.776883996999999,True
3127354,GlaucilÃ¢ndia,MG,309,5,1,1272,-43.702113999999895,-16.989393997000022,-43.566739999999996,-16.80878299699998,True
