codigo_ibge,municipio,uf,codigo_sudene,recorte,fonte,versao_recorte
3100500,Açucena,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3100609,Água Boa,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3100906,Águas Formosas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3101003,Águas Vermelhas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3101102,Aimorés,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3101706,Almenara,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3101805,Alpercata,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3102209,Alvarenga,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3102704,Cachoeira de Pajeú,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3102852,Angelândia,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3103405,Araçuaí,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3104452,Aricanduva,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3104502,Arinos,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3104700,Ataléia,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3105202,Bandeira,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3106507,Berilo,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3106606,Bertópolis,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3106655,Berizal,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3107307,Bocaiúva,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3108206,Bonfinópolis de Minas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3108255,Bonito de Minas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3108503,Botumirim,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3108602,Brasília de Minas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3108800,Braúnas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
