codigo_ibge,municipio,uf,area_municipal_equal_area_km2,area_contato_direto_st_km2,area_contato_composto_stn_km2,area_contato_total_cerrado_caatinga_km2,percentual_contato_total_cerrado_caatinga
3100500,Açucena,MG,815.421879,0.000000,0.000000,0.000000,0.000000
3100609,Água Boa,MG,1320.343653,0.000000,0.000000,0.000000,0.000000
3100906,Águas Formosas,MG,820.078973,0.000000,0.000000,0.000000,0.000000
3101003,Águas Vermelhas,MG,1256.607596,0.000000,0.000000,0.000000,0.000000
3101102,Aimorés,MG,1348.912844,0.000000,0.000000,0.000000,0.000000
3101706,Almenara,MG,2294.425878,0.000000,0.000000,0.000000,0.000000
3101805,Alpercata,MG,166.972386,0.000000,0.000000,0.000000,0.000000
3102209,Alvarenga,MG,278.175726,0.000000,0.000000,0.000000,0.000000
3102704,Cachoeira de Pajeú,MG,695.672331,0.000000,0.000000,0.000000,0.000000
3102852,Angelândia,MG,185.210813,0.000000,0.000000,0.000000,0.000000
3103405,Araçuaí,MG,2236.278986,0.000000,0.000000,0.000000,0.000000
3104452,Aricanduva,MG,243.328833,0.000000,0.000000,0.000000,0.000000
3104502,Arinos,MG,5279.419039,0.000000,0.000000,0.000000,0.000000
3104700,Ataléia,MG,1836.944423,0.000000,0.000000,0.000000,0.000000
3105202,Bandeira,MG,483.788832,0.000000,0.000000,0.000000,0.000000
3106507,Berilo,MG,587.105987,0.000000,0.000000,0.000000,0.000000
3106606,Bertópolis,MG,427.802226,0.000000,0.000000,0.000000,0.000000
3106655,Berizal,MG,488.756118,0.000000,0.000000,0.000000,0.000000
3107307,Bocaiúva,MG,3206.756748,0.000000,0.000000,0.000000,0.000000
3108206,Bonfinópolis de Minas,MG,1850.487365,0.000000,0.000000,0.000000,0.000000
3108255,Bonito de Minas,MG,3936.455979,0.000000,0.000000,0.000000,0.000000
3108503,Botumirim,MG,1568.884255,0.000000,0.000000,0.000000,0.000000
3108602,Brasília de Minas,MG,1399.484125,0.000000,0.000000,0.000000,0.000000
3108800,Braúnas,MG,378.318285,0.000000,0.000000,0.000000,0.000000
3109402,Buritizeiro,MG,7218.401316,0.000000,0.000000,0.000000,0.000000
3110806,Campanário,MG,442.398093,0.000000,0.000000,0.000000,0.000000
3111150,Campo Azul,MG,505.913568,0.000000,0.000000,0.000000,0.000000
3112059,Cantagalo,MG,141.854969,0.000000,0.000000,0.000000,0.000000
3112307,Capelinha,MG,965.292179,0.000000,0.000000,0.000000,0.000000
3112653,Capitão Andrade,MG,279.088435,0.000000,0.000000,0.000000,0.000000
3112703,Capitão Enéas,MG,971.571645,0.000000,0.000000,0.000000,0.000000
3113008,Caraí,MG,1242.345393,0.000000,0.000000,0.000000,0.000000
3113503,Carbonita,MG,1456.082087,0.000000,0.000000,0.000000,0.000000
3113701,Carlos Chagas,MG,3202.983618,0.000000,0.000000,0.000000,0.000000
3113800,Carmésia,MG,259.103469,0.000000,0.000000,0.000000,0.000000
3115458,Catuji,MG,419.379993,0.000000,0.000000,0.000000,0.000000
3115474,Catuti,MG,287.812266,0.000000,0.000000,0.000000,0.000000
3115706,Central de Minas,MG,204.328144,0.000000,0.000000,0.000000,0.000000
3116100,Chapada do Norte,MG,830.833409,0.000000,0.000000,0.000000,0.000000
3116159,Chapada Gaúcha,MG,3255.189291,0.000000,0.000000,0.000000,0.000000
3116506,Claro dos Poções,MG,720.424018,0.000000,0.000000,0.000000,0.000000
3116803,Coluna,MG,348.491778,0.000000,0.000000,0.000000,0.000000
3117009,Comercinho,MG,654.960845,0.000000,0.000000,0.000000,0.000000
3117836,Cônego Marinho,MG,1610.467360,0.000000,0.000000,0.000000,0.000000
3118403,Conselheiro Pena,MG,1483.881792,0.000000,0.000000,0.000000,0.000000
3118809,Coração de Jesus,MG,2225.215987,0.000000,0.000000,0.000000,0.000000
3119203,Coroaci,MG,576.273775,0.000000,0.000000,0.000000,0.000000
3119500,Coronel Murta,MG,815.412915,0.000000,0.000000,0.000000,0.000000
3120102,Couto de Magalhães de Minas,MG,485.653700,0.000000,0.000000,0.000000,0.000000
3120151,Crisólita,MG,966.202256,0.000000,0.000000,0.000000,0.000000
3120300,Cristália,MG,840.702267,0.000000,0.000000,0.000000,0.000000
3120839,Cuparaque,MG,226.750402,0.000000,0.000000,0.000000,0.000000
3120870,Curral de Dentro,MG,570.949541,0.000000,0.000000,0.000000,0.000000
3121001,Datas,MG,310.099117,0.000000,0.000000,0.000000,0.000000
3121605,Diamantina,MG,3891.659296,0.000000,0.000000,0.000000,0.000000
3122108,Divino das Laranjeiras,MG,342.248806,0.000000,0.000000,0.000000,0.000000
3122207,Divinolândia de Minas,MG,133.120076,0.000000,0.000000,0.000000,0.000000
3122355,Divisa Alegre,MG,117.802213,0.000000,0.000000,0.000000,0.000000
3122454,Divisópolis,MG,572.925701,0.000000,0.000000,0.000000,0.000000
3122470,Dom Bosco,MG,817.383045,0.000000,0.000000,0.000000,0.000000
3123106,Dores de Guanhães,MG,382.123629,0.000000,0.000000,0.000000,0.000000
3123700,Engenheiro Caldas,MG,187.058483,0.000000,0.000000,0.000000,0.000000
3123809,Engenheiro Navarro,MG,608.305808,0.000000,0.000000,0.000000,0.000000
3124302,Espinosa,MG,1868.969240,0.000000,231.716472,231.716472,12.398089
3125408,Felício dos Santos,MG,357.621552,0.000000,0.000000,0.000000,0.000000
3125507,São Gonçalo do Rio Preto,MG,314.458125,0.000000,0.000000,0.000000,0.000000
3125606,Felisburgo,MG,596.215055,0.000000,0.000000,0.000000,0.000000
3125804,Fernandes Tourinho,MG,151.874560,0.000000,0.000000,0.000000,0.000000
3126208,Formoso,MG,3686.004392,0.000000,0.000000,0.000000,0.000000
3126505,Francisco Badaró,MG,461.481239,0.000000,0.000000,0.000000,0.000000
3126604,Francisco Dumont,MG,1576.128396,0.000000,0.000000,0.000000,0.000000
3126703,Francisco Sá,MG,2747.299523,0.000000,0.000000,0.000000,0.000000
3126752,Franciscópolis,MG,717.086728,0.000000,0.000000,0.000000,0.000000
3126802,Frei Gaspar,MG,626.672083,0.000000,0.000000,0.000000,0.000000
3126901,Frei Inocêncio,MG,469.556988,0.000000,0.000000,0.000000,0.000000
3126950,Frei Lagonegro,MG,167.473842,0.000000,0.000000,0.000000,0.000000
3127057,Fronteira dos Vales,MG,320.757375,0.000000,0.000000,0.000000,0.000000
3127073,Fruta de Leite,MG,762.836596,0.000000,0.000000,0.000000,0.000000
3127305,Galiléia,MG,720.354876,0.000000,0.000000,0.000000,0.000000
3127339,Gameleiras,MG,1733.202626,0.000000,175.253098,175.253098,10.111518
3127354,Glaucilândia,MG,145.860956,0.000000,0.000000,0.000000,0.000000
3127370,Goiabeira,MG,112.442569,0.000000,0.000000,0.000000,0.000000
3127503,Gonzaga,MG,209.347545,0.000000,0.000000,0.000000,0.000000
3127701,Governador Valadares,MG,2342.327444,0.000000,0.000000,0.000000,0.000000
3127800,Grão Mogol,MG,3885.293894,0.000000,0.000000,0.000000,0.000000
3128006,Guanhães,MG,1075.123727,0.000000,0.000000,0.000000,0.000000
3128253,Guaraciama,MG,390.262972,0.000000,0.000000,0.000000,0.000000
3129608,Ibiaí,MG,874.759796,0.000000,0.000000,0.000000,0.000000
3129657,Ibiracatu,MG,353.257294,0.000000,0.000000,0.000000,0.000000
3130051,Icaraí de Minas,MG,625.664310,0.000000,0.000000,0.000000,0.000000
3130556,Imbé de Minas,MG,196.734966,0.000000,0.000000,0.000000,0.000000
3130655,Indaiabira,MG,1004.148505,0.000000,0.000000,0.000000,0.000000
